Column Name	Type	Description
hazard_pay	varbinary(150)	Compensation for hazardous work conditions.
payslip_status	enum('pending','approve','reject')	Status of the payslip approval.
cola	varbinary(150)	MINIMUM WAGE EARNER Cost of Living Allowance.
service_charge_non_taxable	varbinary(150)	Non-taxable portion of service charges.
service_charge_taxable	varbinary(150)	Taxable portion of service charges.
hazard_pay_taxable	varbinary(150)	Taxable portion of hazard pay.
hazard_pay_non_taxable	varbinary(150)	Non-taxable portion of hazard pay.
flag_prev_emp_income	int(1)	If set, indicates consideration of income from previous employers.
leave_conversion_taxable	varbinary(150)	Amount from taxable leave conversion.
leave_conversion_non_taxable	varbinary(150)	Amount from non-taxable leave conversion.
status	enum('Active','Inactive')	Status of the payslip (used for filtering, not financial logic).
flag_leave_conversion	enum('0','1')	Indicates if leave conversion was applied.
leave_conversion_type_ids	varchar(55)	Comma-separated IDs for types of leave conversions applied.
fixed_sss	enum('no','yes')	Overrides standard SSS calculation.
pagibig_contribution_type	enum('fixed','mixed_deduction','basic_pay')	Specifies method for Pag-IBIG deduction.
voluntary_contributions	varbinary(150)	Voluntary deductions (e.g., additional Pag-IBIG Deduction).
hdmf_modified	varbinary(150)	Manually overridden HDMF (Pag-IBIG) value.
total_earnings	varbinary(150)	Sum of all earnings components.
flag_custom_employee	enum('Yes','No')	Specifies if the employee is handled by custom rules.
created_date	timestamp	Auto-updated timestamp when the record is created or modified.
sss_or_number	varchar(250)	SSS Official Receipt Number.
sss_or_date_remitted	datetime	Date SSS contribution was remitted.
previous_paid_leave_amount_correction	varbinary(150)	Adjustments to paid leave from previous payroll.
retroactive_total_hours	varbinary(150)	Hours computed retroactively.
retroactive_total_amount	varbinary(150)	Earnings computed retroactively.
employee_settings	text	Serialized employee-specific settings for payroll.
hdmf_or_number	varchar(250)	Official receipt number for HDMF.
hdmf_or_date_remitted	datetime	Date HDMF was remitted.
phic_or_number	varchar(250)	Official receipt number for PhilHealth.
phic_or_date_remitted	datetime	Date PhilHealth was remitted.
auto_take_up_total_hours	varbinary(155)	System-computed hours for auto take-up adjustments.
auto_take_up_total_amount	varbinary(155)	System-computed amounts for auto take-up.
auto_take_up_array_val	mediumtext	JSON or serialized structure of auto take-up details.
disbursement_total_amount	varbinary(150)	Total amount released during disbursement.
disbursement_full_data	longtext	Complete disbursement breakdown (likely JSON).
fringe_benefit_val	text	Breakdown on fringe benefits.
employee_service_charge_time_in_val_array	text	Time-in data for calculating service charges.
employee_total_hours_service_charge_val	decimal(11,2)	Total hours used for service charge computation.
maternity_leave_data_array	text	Structured details about maternity leave.
employee_boost_amount	varbinary(150)	Additional deductions.
sum_nontax_pay	varbinary(150)	YTD or period total of non-taxable pay.
ytd_nontax_pay	varbinary(150)	Year-To-Date non-taxable pay.
sum_tax_pay	varbinary(150)	YTD or period total of taxable pay.
ytd_tax_pay	varbinary(150)	Year-To-Date taxable pay.
payslip_type	varchar(250)	Custom tag/classification of the payslip.
custom_payslip_status	varchar(250)	Additional/custom status used for workflows.
disbursement_application_id	int(11)	FK or reference to a disbursement request or app.
employee_thirteenth_month_by_year_id	int(11)	Reference to 13th-month record for that year.
tm_number_of_payslips	int(11)	Running count of how many payslips for 13th month calculation.
tm_hours_worked_adjustments	varbinary(250)	Adjusted hours for 13th-month computation.
tm_beginning_balance_thirteenth_month	varbinary(250)	Carry-over from previous 13th-month balance.
tm_pay_ashima	varbinary(250)	Pay component related to Ashima calculation (custom logic).
tm_current_basic_pay	varbinary(250)	Current basic pay used in 13th-month calculation.
tm_daily_rate	varbinary(250)	Daily rate used for 13th-month pay.
updated_url_source	text	Source URL or system where last update originated.
non_attendance_array	text	Serialized data of non-attendance (absences, etc.).
